0,구석기 시대에서 사용하였던 도구는?,0,1,가락바퀴,괭이,빗살무늬 토기,주먹도끼,
0,구석기 시대에서 믿었던 신앙으로 옳지 않은 것은?,0,3,샤머니즘,토테미즘,애니미즘,미니멀리즘,
0,구석기인의 생활 양식으로 옳지 않은 것은?,0,3,이동하면서 살았다,뗸석기(타재석기)를 이용하였다,주로 동굴과 막집에 옮겨 살았다,불의 사용법을 몰랐다,
1,신석기 시대에서 지었던 집 이름은?,0,0,막집,동굴,움집,가옥,
1,신석기인의 생활 양식으로 옳은 것은?,0,1,뗀석기(타재석기)를 이용하였다,평등사회로 계급이 존재하지 않았다,토메미즘 등의 신앙을 믿었다,농사만으로 생활을 유지할 수 있었다,
2,고조선의 건국 신화에서 환웅과 함께 내려온 사람이 아닌것은?,0,2,풍백,운사,웅녀,우사,
2,고조선의 건국신화에서 알 수 없는 것은?,0,3,농사를 중요시하였다,토테미즘 등의 신앙을 믿었다,환웅의 부족은 청동기를 사용할 수 있었다,인간이 위대한 존재라 믿었다,
3,삼국시대에서 삼국이 멸망한 순서를 옳게 나열하시오.,1,3102,고구려,백제,신라,가야,
3,삼국시대에 고구려의 전성기를 이끌었던 왕은?,0,0,광개토대왕,근초고왕,진흥왕,김수로왕,
3,삼국시대에 백제의 전성기를 이끌었던 왕은?,0,1,광개토대왕,근초고왕,진흥왕,김수로왕,
3,삼국시대에 신라의 전성기를 이끌었던 왕은?,0,2,광개토대왕,근초고왕,진흥왕,김수로왕,
3,삼국시대에 가야에 대한 설명으로 옳은 것은?,0,0,6개국의 연합 국가였다,초기 가야 연맹은 대가야가 가장 강하였다,후기 가야 연맹은 금관가야가 가장 강하였다,청동기에 관한 조예가 깊었다,
3,삼국시대에 고국원왕을 전사시킨 왕의 이름은?,0,0,근초고왕,소수림왕,문왕,무열왕,
3,삼국시대에 일어난 사건을 순서대로 나열하시오.,1,1032,나제동맹,고국원왕 사망,금관가야 멸망,나당연합,
3,삼국시대에 일어난 사건을 순서대로 나열하시오.,1,2103,고구려 평양성 천도,고구려 환도성 천도,고구려의 국내성 천도,백제 웅진 천도,
3,삼국시대에 일어난 사건을 순서대로 나열하시오.,1,3012,신라의 이사부가 우산국 정복,백제의 남부여 개명 및 사비성 천도,신라 진흥왕 즉위,고구려에 의한 부여 멸망,
4,신라가 통일하는 과정에 일어난 사건을 순서대로 나열하시오.,1,2013,매소성 전투,기벌포 전투,나당연합,9주 5소경 설치,
4,신라가 통일하는 과정에 일어난 전투를 순서대로 나열하시오.,1,1320,백강전투,나당연합,사수대첩,무열왕 즉위,
4,통일 신라시대에서 삼국을 통일한 왕은?,0,3,광개토대왕,선덕여왕,진흥왕,문무왕,
5,남북국시대에서 발해를 건국한 왕은?,0,1,무왕,대조영,문왕,해동왕,
5,발해가 건국한 장소로 옳은 것은?,0,3,남산,백두산,수락산,동모산,
6,고려시대에서 설립한 교육기관으로 옳은 것은?,0,2,집현전,성균관,국자감,태학,
6,고려의 왕 중에 노비안검법을 실시한 왕은?,0,1,원종,광종,예종,정종,
6,고려에 일어난 사건을 순서대로 나열하시오.,1,3210,동녕부 폐지,삼국유사 편찬,탐라총관부 설치,만적의 난 발발,
7,조선에 일어난 사건을 순서대로 나열하시오.,1,1023,임진왜란,훈민정음 창제,발해고 제작,대동여지도 간행,
7,조선시대의 왕 순서를 옳게 나열하시오.,1,1302,세종,태조,세조,정조,
8,대한제국에 일어난 사건을 순서대로 나열하시오.,1,3201,을사늑약 체결,이토 히로부미 사살,러일전쟁 발발,만민공동회 개최,
8,대한제국 시대에 고종이 러시아 대사관으로 도망간 사건으로 옳은 것은?,0,0,아관 파천,러일전쟁,을사늑약,아간 퐈천,
9,일제강점기 시대에 을사오적이 아닌 사람은?,0,3,박제순,이완용,이근택,인지용,
9,일제강점기에 일어난 사건을 순서대로 나열하시오.,1,2130,한국 광복군 창설,광주 학생 항일 운동,대한민국 임시정부 수립,"이봉창, 윤봉길 의거",
